Reference,Source Concept,Relational Concept,End Concept,Author
Rf02,Mission,comprises,Operation,(Gomez et al.)
Rf02,Operation,comprises,Task,(Gomez et al.)
Rf02,Task,requires,Capability,(Gomez et al.)
Rf02,Asset,provides,Capability,(Gomez et al.)
Rf02,Platform,is-a,Asset,(Gomez et al.)
Rf02,System ,is-a,Asset,(Gomez et al.)
Rf02,System ,attached-to,Platform,(Gomez et al.)
Rf02,Component,is-a,System,(Gomez et al.)
Rf02,Capability,entails,Capability,(Gomez et al.)
Rf07,Mission,accomplishes,SoS,"(xing Zhu et al., 2017)"
Rf07,Mission,has,Time,"(xing Zhu et al., 2017)"
Rf07,Mission,decomposes,Mission,"(xing Zhu et al., 2017)"
Rf07,Mission,has,Priority,"(xing Zhu et al., 2017)"
Rf07,Event,triggers,Mission,"(xing Zhu et al., 2017)"
Rf07,Mission,concerns,Resource,"(xing Zhu et al., 2017)"
Rf07,Condition,constraint,Mission,"(xing Zhu et al., 2017)"
Rf07,Mission,applies,Scenario,"(xing Zhu et al., 2017)"
Rf07,Mission,achieves,Effect,"(xing Zhu et al., 2017)"
Rf07,Mission,performs,Emergent,"(xing Zhu et al., 2017)"
Rf07,Task,accomplished-by,CS,"(xing Zhu et al., 2017)"
Rf07,Task,realizes,Mission,"(xing Zhu et al., 2017)"
Rf07,Task,performs,Activity,"(xing Zhu et al., 2017)"
Rf07,CS,executes,Activity,"(xing Zhu et al., 2017)"
Rf07,CS,belongs,SystemConf,"(xing Zhu et al., 2017)"
Rf07,CS,collaborates,CS,"(xing Zhu et al., 2017)"
Rf07,Emergent,influences,SystemConf,"(xing Zhu et al., 2017)"
Rf13,Mission,contains,Task,(Smirnov and Stutz)
Rf13,Task,requires,Capability,(Smirnov and Stutz)
Rf13,Resource,provides,Capability,(Smirnov and Stutz)
Rf13,Resource,assigned-to,Task,(Smirnov and Stutz)
Rf13,Capability,performs,Task,(Smirnov and Stutz)
Rf05,Mission,composed-of,Task,(Saad et al.)
Rf05,Mission,composed-of,Location,(Saad et al.)
Rf05,Mission,composed-of,POI,(Saad et al.)
Rf05,Environment,composed-of,Event,(Saad et al.)
Rf05,Environment,composed-of,Object,(Saad et al.)
Rf05,Actor,composed-of,Human,(Saad et al.)
Rf05,Actor,composed-of,Robot,(Saad et al.)
Rf05,Communication ,composed-of,CommDevice,(Saad et al.)
Rf05,Communication ,composed-of,CommEvent,(Saad et al.)
Rf05,Actor,has,Task,(Saad et al.)
Rf05,Actor,has,Location,(Saad et al.)
Rf05,Actor,has,Device,(Saad et al.)
Rf05,Actor,has,Message,(Saad et al.)
Rf01,Mission,supports,Operation,(D’Amico et al.)
Rf01,Task,supports,Mission,(D’Amico et al.)
Rf01,Task,precedes,Task,(D’Amico et al.)
Rf01,Capability,supports,Task,(D’Amico et al.)
Rf06,Mission,comprises,Operation,(Deitz et al.)
Rf06,Operation,comprises,Task,(Deitz et al.)
Rf06,Task ,requires,Capability,(Deitz et al.)
Rf06,Capability,entails,Capability,(Deitz et al.)
Rf06,Asset,provides,Capability,(Deitz et al.)
Rf06,Asset,allocated-to,Task,(Deitz et al.)
Rf09,SoS,has,Mission,(Martin et al.)
Rf09,SoS,has,Environment,(Martin et al.)
Rf09,SoS,has,Stakeholder,(Martin et al.)
Rf09,SoS,has,Capability,(Martin et al.)
Rf09,Capability,realizes ,Mission,(Martin et al.)
Rf09,Mission,composed-of,MissionThread,(Martin et al.)
Rf09,CapabilityConf,addresses,MissionThread,(Martin et al.)
Rf09,CapabilityConf,forms,Constellation,(Martin et al.)
Rf09,Constellation,composed-of,CS,(Martin et al.)
Rf09,CS,engages-in,Constellation,(Martin et al.)
Rf09,SoS,aggregates ,Constellation,(Martin et al.)
Rf09,Capability,composed-of,Capability,(Martin et al.)
Rf09,Capability,is-a,Resource,(Martin et al.)
Rf12,Mission,contributes,Mission,(Silva et al.)
Rf12,Mission,refined-into,Mission,(Silva et al.)
