Concepts,Rf01,Rf02,Rf03,Rf05,Rf06,Rf07,Rf08,Rf09,Rf10,Rf11,Rf12,Rf13,Rf15
Mission,A combination of tasks to achieve a common goal (DoD definition),"A mission comprises several operations to be carried out, and each operation breakdown into a number of tasks that must be accomplished","set of available resource, set of actions, initial states and the set of possible mission accomplished states. ","contains the concepts and entities needed when setting up and planning a mission, including a taxonomy of tasks and POIs",Mission describe sets of particular actions (course of actions) to be carried out without giving specification on how they should be carried out.,"Mission is the task together with the purpose that clearly indicates the action to be taken and the reason; a duty assigned to an individual or unit, DODAF.","A mission is an event composed of a series of activities, and utilizes the resources of the space station to complete a work in a certain way and to satisfy the requirements of the space station operation.",A mission is a set of objectives and goals to be achieved in a specific operational environment,"Mission class leverages two other classes, target and task, to define mission specification. Target class describe the object that the mission needs to detect, task describes the process and condition which must take place on the target instance",Mission can be defined as an ordered series of tasks with a well defined objective and is required to be implemented by the simulation system. ,"SoS has goals that can be described as missions. missions are structured as tree
in which leaf nodes represent individual missions and nonleaf nodes represent global missions.",A mission may consist of several tasks where each task has a set of requirements that have to be satisfied in order to be successfully executed. ,Define a mission as a finality that the SoS must achieve by collaborating constituent systems (CS). 
Operation,the action of functioning or the fact of being active or in effect. (implied),"Missions breaking down into operations, and operations into tasks, where each task may require different  capabilities.  An operation is a military action or the carrying out of a strategic,
operational, tactical, Service, training, or administrative military mission. (UJTL)",,,Operations aim to accomplish particular Tasks,,,,,,"Requirements implemen-
tation",,
Task,A usually assigned piece of work often to be finished within a certain time,"Tasks identify ""what"" is to be performed (an action) … doesnt address how a tsk is performed, why or who (UJTL) A task is an action or activity (derived from an analysis of the mission and concept of operations), specifically assigned to a unit or
organization, that must be done as it is imposed by an appropriate authority. Tasks are generated from mission analysis or operations plans, and joint capability requirements.",,"each task has a list of required capabilities such as sensing, locomotion and communication, which defines to which actor(s) the task can be allocated","Tasks provide the common language needed to specify what actions have been assigned in
the mission statement and what actions must be performed as part of the plan developed to accomplish the mission",individual missions are named as tasks,,, describes a process and condition which takes place on the target.,"A task definition includes the label of the task, who is responsible for or who realizes the task, what are the required inputs and produced outputs, when does the task occur (in terms of order of sequence), why is the task executed (represented as the objectives of the task) and the geographical constraints of the task.",functional operations that implement the mission,each task has a set of requirements that have to be satisfied in order to be successfully executed,
Asset,A broad term that denotes something of value on a computer network,"that provide capabilities , for example sensors ",,,"any information source, producer or container that can deliver information to consumers (analysts, planners, decision makers). It can be a physical sensor, a human source from which data can be collected or an information container (e.g. database) from which information can be retrieved.",,,,,,,,
Platform,,"these are the systems to which sensors are attached to get energy, proctction, mobility, communication , etc., ","static or mobile (ground, air, underwater vehicles)",,##,,,,,,,##,
System ,,a set of things working together as parts of a mechanism (implied),,,##,##,,,,,##,##,
Component,,"that constitute part of a larger whole, identified by unique attributes. It has dependencies with other components. ",,,,,,,,,,,
Capability,An ability to execute a specified course of action. (DOD dictionary),a capability is required to perform certain type of tasks ,the ability to do something  (implied),,"Functions will be required for particular capabilities, while capabilities will require specific functions.",,,The ability to achieve a desired effect under specified (performance) standards and conditions through combinations of ways and means (activities and resources) to perform a set of activities,,##,,##,The capability of a role is defined as “the ability to provide some expertise to the wider needs of an SoS”
Event,,,,,,which trigger to execute Mission,,,,that trigger transistions,,,
Condition,,,,,,which is sufficient condition for executing Mission,,,"ancillary conditions, such as target is carrying a “weapon” or “backpack” or even a condition of target has “weight greater than six tons",,,,
CS,,,,,,the constituent systems perform certain activities to accomplish these tasks,,Independent system that forms part of a system of systems,,,"e independent elements in an SoS, implementation-related information might be unknown",,"Several types of the constituent systems could be used to concretize a role in the concrete architecture: humans, hardware and software existing systems, and institutions"
Emergent,,,,,,"The constituent systems cooperate with each other and implement their own activities, then ultimately show an emergency behavior. The emergency behavior can achieve the appropriate mission.",,,,,new functionalities that cannot be offered by any of the constituent systems as individuals,,
Resource,,,,,,which are Concerned in Mission (implies specific association of set of resources to a mission),an object or an entity as a tool or an executor to execute space station activities,"A composite structure representing the physical and human resources (and their interactions), assembled to meet a capability",,,,"borrows RDF definitions, subject-predicate-object triplate focusing on properties and relationships of entities  (implied)",
