0;1;2;3;4;
Rf02;Rf07;Mission;Mission;1;Exact
Rf02;Rf07;Mission;Event;0,363636364;High
Rf02;Rf07;Mission;Condition;0,333333333;High
Rf02;Rf07;Mission;Task;0,266666667;Low
Rf02;Rf07;Mission;CS;0,266666667;Low
Rf02;Rf07;Mission;Emergent;0,2;Low
Rf02;Rf13;Mission;Resource;0,307692308;High
Rf02;Rf13;Mission;Capability;0,307692308;High
Rf02;Rf05;Mission;Environment;0,307692308;High
Rf02;Rf05;Mission;Actor;0,142857143;Low
Rf02;Rf05;Mission;Communication;0,307692308;High
Rf02;Rf06;Mission;Operation;0,307692308;High
Rf02;Rf06;Mission;Asset;0,333333333;High
Rf02;Rf09;Mission;SoS;0,307692308;High
Rf02;Rf09;Mission;Constellation;0,266666667;Low
Rf02;Rf12;Mission;Executor;0,153846154;Low
Rf02;Rf12;Mission;Connectivity;0,333333333;High
Rf02;Rf12;Mission;Cooperation;0,307692308;High
Rf02;Rf11;Mission;Role;0,25;Low
Rf02;Rf11;Mission;Metric;0,307692308;High
Rf02;Rf11;Mission;Entity;0,25;Low
Rf02;Rf03;Mission;Platform;0,133333333;Low
Rf02;Rf03;Mission;Payload;0,25;Low
Rf02;Rf03;Mission;Software;0,266666667;Low
Rf02;Rf08;Mission;Activity;0,307692308;High
Rf02;Rf07;Operation;Mission;0,307692308;High
Rf02;Rf07;Operation;Event;0,4;High
Rf02;Rf07;Operation;Condition;0,727272727;High
Rf02;Rf07;Operation;Task;0,285714286;Low
Rf02;Rf07;Operation;CS;0,285714286;Low
Rf02;Rf07;Operation;Emergent;0,222222222;Low
Rf02;Rf13;Operation;Resource;0,333333333;High
Rf02;Rf13;Operation;Capability;0,5;High
Rf02;Rf05;Operation;Environment;0,666666667;High
Rf02;Rf05;Operation;Actor;0,153846154;Low
Rf02;Rf05;Operation;Communication;0,333333333;High
Rf02;Rf06;Operation;Operation;1;Exact
Rf02;Rf06;Operation;Asset;0,545454545;High
Rf02;Rf09;Operation;SoS;0,333333333;High
Rf02;Rf09;Operation;Constellation;0,285714286;Low
Rf02;Rf12;Operation;Executor;0,166666667;Low
Rf02;Rf12;Operation;Connectivity;0,545454545;High
Rf02;Rf12;Operation;Cooperation;0,333333333;High
Rf02;Rf11;Operation;Role;0,266666667;Low
Rf02;Rf11;Operation;Metric;0,333333333;High
Rf02;Rf11;Operation;Entity;0,285714286;Low
Rf02;Rf03;Operation;Platform;0,142857143;Low
Rf02;Rf03;Operation;Payload;0,266666667;Low
Rf02;Rf03;Operation;Software;0,285714286;Low
Rf02;Rf08;Operation;Activity;0,333333333;High
Rf02;Rf07;Task;Mission;0,266666667;Low
Rf02;Rf07;Task;Event;0,666666667;High
Rf02;Rf07;Task;Condition;0,307692308;High
Rf02;Rf07;Task;Task;1;Exact
Rf02;Rf07;Task;CS;0,25;Low
Rf02;Rf07;Task;Emergent;0,181818182;Low
Rf02;Rf13;Task;Resource;0,285714286;Low
Rf02;Rf13;Task;Capability;0,285714286;Low
Rf02;Rf05;Task;Environment;0,285714286;Low
Rf02;Rf05;Task;Actor;0,133333333;Low
Rf02;Rf05;Task;Communication;0,714285714;High
Rf02;Rf06;Task;Operation;0,285714286;Low
Rf02;Rf06;Task;Asset;0,307692308;High
Rf02;Rf09;Task;SoS;0,285714286;Low
Rf02;Rf09;Task;Constellation;0,375;High
Rf02;Rf12;Task;Executor;0,142857143;Low
Rf02;Rf12;Task;Connectivity;0,307692308;High
Rf02;Rf12;Task;Cooperation;0,666666667;High
Rf02;Rf11;Task;Role;0,823529412;High
Rf02;Rf11;Task;Metric;0,285714286;Low
Rf02;Rf11;Task;Entity;0,222222222;Low
Rf02;Rf03;Task;Platform;0,125;Low
Rf02;Rf03;Task;Payload;0,235294118;Low
Rf02;Rf03;Task;Software;0,25;Low
Rf02;Rf08;Task;Activity;0,857142857;High
Rf02;Rf07;Asset;Mission;0,333333333;High
Rf02;Rf07;Asset;Event;0,444444444;High
Rf02;Rf07;Asset;Condition;0,6;High
Rf02;Rf07;Asset;Task;0,307692308;High
Rf02;Rf07;Asset;CS;0,307692308;High
Rf02;Rf07;Asset;Emergent;0,25;Low
Rf02;Rf13;Asset;Resource;0,363636364;High
Rf02;Rf13;Asset;Capability;0,727272727;High
Rf02;Rf05;Asset;Environment;0,545454545;High
Rf02;Rf05;Asset;Actor;0,166666667;Low
